time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
1.174999,0.264809,0.109301,0.122811
1.179999,0.264580,0.108024,0.121727
1.184999,0.264026,0.106052,0.120041
1.190000,0.263519,0.104703,0.118879
1.195000,0.262552,0.102628,0.117082
1.200000,0.261773,0.101214,0.115851
1.205000,0.260406,0.099048,0.113959
1.210001,0.259365,0.097578,0.112669
1.215001,0.257614,0.095333,0.110694
1.220001,0.256323,0.093814,0.109353
1.225001,0.254207,0.091503,0.107309
1.230001,0.252680,0.089943,0.105926
1.235002,0.250219,0.087579,0.103827
1.240002,0.248469,0.085987,0.102414
1.245002,0.245686,0.083582,0.100276
1.250002,0.243729,0.081969,0.098842
1.255003,0.240649,0.079536,0.096682
1.260003,0.238501,0.077910,0.095238
1.265003,0.235143,0.075464,0.093071
1.270003,0.232816,0.073833,0.091628
1.275004,0.229200,0.071388,0.089469
1.280004,0.226710,0.069762,0.088036
1.285004,0.222861,0.067330,0.085900
1.290004,0.220222,0.065716,0.084487
1.295004,0.216163,0.063311,0.082390
1.300005,0.213393,0.061719,0.081008
1.305005,0.209146,0.059351,0.078963
1.310005,0.206257,0.057788,0.077621
1.315005,0.201845,0.055470,0.075642
1.320006,0.198854,0.053945,0.074349
1.325006,0.194300,0.051689,0.072451
1.330006,0.191223,0.050208,0.071216
1.335006,0.186553,0.048023,0.069413
1.340007,0.183406,0.046592,0.068245
1.345007,0.178643,0.044487,0.066548
1.350007,0.175442,0.043113,0.065455
1.355007,0.170609,0.041098,0.063875
1.360008,0.167370,0.039786,0.062863
1.365008,0.162492,0.037867,0.061410
1.370008,0.159231,0.036622,0.060486
1.375008,0.154331,0.034807,0.059167
1.380008,0.151063,0.033634,0.058334
1.385009,0.146165,0.031929,0.057154
1.390009,0.142906,0.030831,0.056414
1.395009,0.138032,0.029241,0.055374
1.400009,0.134797,0.028219,0.054727
1.405010,0.129970,0.026746,0.053827
1.410010,0.126774,0.025804,0.053273
1.415010,0.122019,0.024451,0.052513
1.420010,0.118878,0.023591,0.052052
1.425011,0.114218,0.022362,0.051428
1.430011,0.111149,0.021585,0.051055
1.435011,0.106608,0.020482,0.050560
1.440011,0.103628,0.019789,0.050272
1.445011,0.099232,0.018813,0.049899
1.450012,0.096357,0.018203,0.049689
1.455012,0.092132,0.017351,0.049429
1.460012,0.089379,0.016824,0.049292
1.465012,0.085353,0.016094,0.049136
1.470013,0.082742,0.015649,0.049064
1.475013,0.078943,0.015039,0.049002
1.480013,0.076495,0.014672,0.048990
1.485013,0.072956,0.014180,0.049013
1.490014,0.070691,0.013889,0.049055
1.495014,0.067443,0.013509,0.049154
1.500014,0.065381,0.013292,0.049243
1.505014,0.062452,0.013019,0.049408
1.510015,0.060613,0.012871,0.049538
1.515015,0.058031,0.012697,0.049762
1.520015,0.056431,0.012613,0.049928
1.525015,0.054223,0.012532,0.050203
1.530015,0.052880,0.012506,0.050402
1.535016,0.051065,0.012510,0.050721
1.540016,0.049989,0.012539,0.050947
1.545016,0.048573,0.012620,0.051305
1.550016,0.047762,0.012699,0.051554
1.555017,0.046735,0.012853,0.051943
1.560017,0.046174,0.012977,0.052212
1.565017,0.045508,0.013194,0.052628
1.570017,0.045175,0.013358,0.052912
1.575018,0.044828,0.013630,0.053348
1.580018,0.044691,0.013828,0.053644
1.585018,0.044610,0.014147,0.054095
1.590018,0.044631,0.014374,0.054399
1.595019,0.044758,0.014732,0.054861
1.600019,0.044898,0.014982,0.055171
1.605019,0.045176,0.015371,0.055637
1.610019,0.045399,0.015639,0.055949
1.615019,0.045775,0.016051,0.056417
1.620020,0.046048,0.016332,0.056728
1.625020,0.046479,0.016760,0.057193
1.630020,0.046774,0.017049,0.057500
1.635020,0.047220,0.017487,0.057957
1.640021,0.047513,0.017779,0.058258
1.645021,0.047940,0.018218,0.058702
1.650021,0.048211,0.018510,0.058993
1.655021,0.048592,0.018943,0.059420
1.660022,0.048827,0.019229,0.059698
1.665022,0.049150,0.019651,0.060104
1.670022,0.049343,0.019926,0.060366
1.675022,0.049596,0.020330,0.060746
1.680022,0.049740,0.020591,0.060991
1.685023,0.049916,0.020971,0.061342
1.690023,0.050004,0.021215,0.061566
1.695023,0.050096,0.021566,0.061886
1.700023,0.050129,0.021789,0.062088
1.705024,0.050139,0.022106,0.062372
1.710024,0.050119,0.022305,0.062548
1.715024,0.050052,0.022584,0.062793
1.720024,0.049984,0.022757,0.062943
1.725025,0.049846,0.022995,0.063147
1.730025,0.049731,0.023140,0.063268
1.735025,0.049525,0.023335,0.063429
1.740025,0.049366,0.023449,0.063520
1.745026,0.049093,0.023598,0.063636
1.750026,0.048891,0.023681,0.063697
1.755026,0.048560,0.023781,0.063767
1.760026,0.048321,0.023832,0.063797
1.765026,0.047938,0.023883,0.063820
1.770027,0.047667,0.023901,0.063820
1.775027,0.047243,0.023903,0.063797
1.780027,0.046950,0.023887,0.063767
1.785027,0.046502,0.023838,0.063699
1.790028,0.046198,0.023790,0.063640
1.795028,0.045735,0.023691,0.063530
1.800028,0.045425,0.023609,0.063443
1.805028,0.044960,0.023460,0.063292
1.810029,0.044652,0.023344,0.063179
1.815029,0.044198,0.023146,0.062989
1.820029,0.043903,0.022998,0.062850
1.825029,0.043473,0.022752,0.062624
1.830029,0.043198,0.022573,0.062461
1.835030,0.042804,0.022282,0.062199
1.840030,0.042553,0.022074,0.062013
1.845030,0.042198,0.021740,0.061720
1.850030,0.041976,0.021504,0.061515
1.855031,0.041670,0.021130,0.061194
1.860031,0.041483,0.020868,0.060971
1.865031,0.041232,0.020457,0.060625
1.870031,0.041084,0.020171,0.060387
1.875032,0.040894,0.019726,0.060019
1.880032,0.040789,0.019418,0.059768
